,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
923,hang97ptit,5,2022-10-13 08:20,,Sản phẩm ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,154,,
927,nuongtran26,5,2021-07-03 02:04,,Ok,,0,155,,
930,phamha199_0,5,2021-09-27 13:21,,Sản phẩm tốt. Giao hàng nhanh,,0,156,,
931,light1909,5,2020-12-17 16:11,,Giao hàng lâu và nát hàng 😛😛,,0,156,,
936,phamha199_0,5,2021-09-27 13:21,,Sản phẩm tốt. Giao hàng nhanh,,0,157,,
937,light1909,5,2020-12-17 16:11,,Giao hàng lâu và nát hàng 😛😛,,0,157,,
942,quang_vinh2006,5,2021-10-19 15:30,,Tốt,,0,158,,
948,quang_vinh2006,5,2021-10-19 15:30,,Tốt,,0,159,,
2076,linh.6127_9227,4,2023-04-08 13:11,,"Hương thơm: thơm nhẹ
Kinh nghiệm sử dụng: giờ mới dùng , sẽ quaylain đánh giá sau
Lợi ích: làm mờ thâm mụn
Tốt , khá ưng , giá hợp lý",,0,3,,
2077,tranthungocxinh,4,2023-02-27 16:45,,"Công dụng: trị mụn
Mùi hương: thơm nhẹ
Dành cho da: mụn
Đóng gói cẩn thận, chưa dùng nên chưa biết hiệu quả không. Lần đầu mua cho con gái","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,,
2078,n*****6,4,2021-05-16 21:59,,Hàng nhận thì hộp bị móp méo nhưng may bên trong vẫn nguyên (có thể là ship từ tphcm nên không tránh được). Đang dùng thử thấy vết thâm cũng bị mờ 1 chút. Có khi phải dùng thời gian dài mới thật sự hiệu quả.,,0,3,,
2079,x*****2,4,2020-11-28 12:57,,Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,,0,3,,
2080,6b8xkr5hzcip1tnykms91s61wqmw,4,2021-04-10 10:18,,"Shop tư vấn nhiệt tình, cẩn thận. 
Chất gel, khi lấy sản phẩm dễ bị lấy quá ra ngoài. Tớ mới dùng cho vết sẹo được gần 2 tuần, cũng thấy có chút tác dụng. 
Sản phẩm kiên trì dùng lâu dài mới có tác dụng, không có tác dụng nhanh.",,0,3,,
2081,cheesebyty,4,2020-12-17 18:47,,"Shop giao hàng khá lâu
Gói hàng ko kĩ nên bị móp méo trong quá trình vận chuyển",,0,3,,
2082,h*****b,4,2020-08-30 16:58,,"Mới dùng thử 2 ngày thôi nhưng chưa thấy kết quả j 
Sp có mùi thơm dễ chịu dính khá lâu trên da",,0,4,,
2083,jpgtonydfd,4,2021-07-23 10:56,,"Đóng hàng cẩn thận, Ko bị dị ứng nhưng mới xoa 1 tuýp vẫn chưa thấy hết thâm, mình mới đặt 1 tuýp nữa, hy vọng có kết quả tốt.",,0,4,,
2085,d*****7,4,2023-02-18 14:37,,"Công dụng: mờ sẹo
Mùi hương: gel
Dành cho da: ko biết🤣
Chưa dùng nên ko biết có ok ko nhưng dag gel cũng dễ dùng, và giao hàng siêu nhanh luôn mới đặt hôm qua thôi ấy mà trưa nay đã có hàng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,,
2086,anba16,4,2022-12-01 16:27,,"Công dụng: mới mua nên chưa đánh giá công dụng được
Mùi hương: khá dễ chịu
Dành cho da: bôi vào khá mát nhưng cảm giác hơi khô da và dính 1 chút
Giao hàng nhanh, đóng gói tốt, mùi hương khá dễ chịu, bôi vào da cảm giác mát, không gây kích ứng nhưng có hiệu quả hay không thì phải vài tuần mới biết được","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,4,,
2087,nguoinamcham241,4,2022-12-01 11:29,,"Đã nhận được hàng, giao hàng khá nhanh, sẽ mua tiếp lần sau!!!!","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,4,,
2088,h*****b,4,2020-08-30 16:58,,"Mới dùng thử 2 ngày thôi nhưng chưa thấy kết quả j 
Sp có mùi thơm dễ chịu dính khá lâu trên da",,0,5,,
2089,jpgtonydfd,4,2021-07-23 10:56,,"Đóng hàng cẩn thận, Ko bị dị ứng nhưng mới xoa 1 tuýp vẫn chưa thấy hết thâm, mình mới đặt 1 tuýp nữa, hy vọng có kết quả tốt.",,0,5,,
2091,d*****7,4,2023-02-18 14:37,,"Công dụng: mờ sẹo
Mùi hương: gel
Dành cho da: ko biết🤣
Chưa dùng nên ko biết có ok ko nhưng dag gel cũng dễ dùng, và giao hàng siêu nhanh luôn mới đặt hôm qua thôi ấy mà trưa nay đã có hàng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,5,,
