,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
34,janditran,5,2021-10-22 22:18,,"Hình ảnh mang tính chất lấy xu, giao hàng nhanh, gói hàng cẩn thận, mình đặt hộ nên k rõ chất lượng sản phẩm thế nào",,0,6,0,0.00083422853
35,j*****s,5,2021-10-23 20:23,,Mình mua tặng bố vì bố mình hay phải đi uống rượu tiếp khách. Mong là công dụng tốt mà không hại sức khỏe,,0,6,0,3.9120636e-07
36,psk.pikapu,5,2021-10-21 22:22,,Mall có tiến bộ khi gói hàng. Lần này mình thấy gói kĩ hơn nhiều. Giao hàng cũng nhanh!,,0,7,1,0.7627133
37,sonnh1412,5,2022-04-01 19:10,,Đóng gói cẩn thận và giao hàng nhanh chóng. Đã mua một lần thấy cũng hiệu quả nên mua tiếp,,1,7,0,0.19755448
38,mrmrabcdzl,5,2021-10-22 17:56,,"Đúng là Shopee Mall , đặt hàng 2 ngày đã có, đóng gói kĩ lưỡng chống sốc các kiểu con đà điểu , Sản phẩm uống khá giống tăng lực không đường pha 1 chút mùi kiểu nhân sâm linh chi, nói chung là dễ uống còn có giảm chịu chứng khó chịu khi sử dụng Pi.a r.ụ thì mình sẽ test sau .... ⭐⭐⭐⭐⭐",,0,7,0,3.4780594e-06
39,wiseman2006,5,2022-07-20 20:43,,"Shop chuẩn bị hàng nhanh, bao bì cẩn thận. Nước uống giải rượu mùi thơm giống redbull do có taurin. Về công dụng thì để chủ nhật này mới biết.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,7,1,1.0
40,janditran,5,2021-10-22 22:18,,"Hình ảnh mang tính chất lấy xu, giao hàng nhanh, gói hàng cẩn thận, mình đặt hộ nên k rõ chất lượng sản phẩm thế nào",,0,7,0,0.00083422853
41,j*****s,5,2021-10-23 20:23,,Mình mua tặng bố vì bố mình hay phải đi uống rượu tiếp khách. Mong là công dụng tốt mà không hại sức khỏe,,0,7,0,3.9120636e-07
42,mainguyenyennhi219,5,2023-05-27 09:44,,"Đối tượng sử dụng: all
Công dụng: giải rượu bia
Ông xã mình hay uống rượu bia nên mua về giải rượu , chưa sử dụng nên chưa biết ntn, hi vọng có kết quả tốt mình sẽ tiếp tục ủng hộ. Đợi lần sau mình sẽ cho kết quả khi sử dụng cho các bạn nhé",,0,8,1,1.0
43,dunng786,5,2023-05-16 12:53,,"Hàng đóng gói cẩn thân, kĩ lưỡng, giao hàng nhanh, sẽ ủng hộ shop nếu có thêm nhu cầu",,0,8,1,1.0
44,e*****e,5,2023-05-07 08:50,,"Hình ảnh chỉ mang tính chất nhận xu, đóng gói cẩn thận, giao hàng nhanh,",,0,8,0,8.686616e-05
45,billtmb,5,2023-04-16 11:12,,"Mua dc giá sale nên cũng okie
Giao hàng khá nhanh, sản phẩm như hình nhé .",,0,8,0,0.0046217134
46,giangm12,5,2023-03-13 22:56,,"Công dụng: giải rượu bia
Đối tượng sử dụng: người uống rượu bia
Trước mua thử ở cửa hàng tiện lợi cho chồng dùng thấy ổn nên nay thấy mall có mua luôn lốc cho chồng lúc cần thì dùng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,8,1,1.0
