,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
738,huy.nh.y,5,2019-04-21 10:50,Phân loại hàng: Hương Ylang Ylang,Giao siêu nhanh 👍👍 hqa hnay có r sp thơm nhưng mh thk loại green tea hơn nhưng hết haiZz,,0,124,1,0.99855226
739,tthuyduyen1608,5,2020-01-09 21:12,,"Mùi khá thoải mái, giảm mùi giảm tiết mồ hôi.",,0,124,0,5.5748917e-08
740,anhienvothuong,5,2021-02-27 10:16,,"Xịt thơm vad mì khá sang
Nhưng mik ms mua mà lm mất rồi
Tiếc kinh khủng í",,0,124,0,3.8116086e-14
741,dhbinh93,5,2020-03-04 19:41,,"Giao hàng nhanh, phụ vụ khách hàng tốt, chất lượng tốt, gói hàng cẩn thận",,0,124,1,0.7288664
742,phung_pham_1992,5,2020-01-13 21:53,,"Mùi thơm lắm, mình rất thích.nghe như mùi nước hoa mà rất thanh mát nhe",,0,124,1,0.99855226
743,kduong9607,5,2018-03-30 15:40,Phân loại hàng: Hương Trà Xanh," Đóng gói sản phẩm rất đẹp và chắc chắn
 Thời gian giao hàng rất nhanh",,0,124,0,5.5748917e-08
744,huy.nh.y,5,2019-04-21 10:50,Phân loại hàng: Hương Ylang Ylang,Giao siêu nhanh 👍👍 hqa hnay có r sp thơm nhưng mh thk loại green tea hơn nhưng hết haiZz,,0,125,0,3.8116086e-14
745,tthuyduyen1608,5,2020-01-09 21:12,,"Mùi khá thoải mái, giảm mùi giảm tiết mồ hôi.",,0,125,1,0.7288664
746,anhienvothuong,5,2021-02-27 10:16,,"Xịt thơm vad mì khá sang
Nhưng mik ms mua mà lm mất rồi
Tiếc kinh khủng í",,0,125,1,0.99855226
747,dhbinh93,5,2020-03-04 19:41,,"Giao hàng nhanh, phụ vụ khách hàng tốt, chất lượng tốt, gói hàng cẩn thận",,0,125,0,5.5748917e-08
748,phung_pham_1992,5,2020-01-13 21:53,,"Mùi thơm lắm, mình rất thích.nghe như mùi nước hoa mà rất thanh mát nhe",,0,125,0,3.8116086e-14
749,kduong9607,5,2018-03-30 15:40,Phân loại hàng: Hương Trà Xanh," Đóng gói sản phẩm rất đẹp và chắc chắn
 Thời gian giao hàng rất nhanh",,0,125,1,0.7288664
